"UF;MUNICÍPIO;IBGE;TIPOLOGIA;ZONA;NOME DO ESTABELECIMENTO;STATUS"
"RS;PORTO ALEGRE;4314902;ESCOLA;URBANO;ESCOLA ESTADUAL INDIGENA DE ENSINO FUNDAMENTAL FAG NHIN;ATIVADO                                                                                                   "
"RS;PINHEIRINHO DO VALE;4314498;ESCOLA;RURAL;ESCOLA MUNICIPAL ENSINO FUNDAMENTAL NOSSA SENHORA APARECIDA;ATIVADO                                                                                         "
"RS;PINHAL;4314456;ESCOLA;URBANO;TELECENTRO COMUNITÁRIO TELECENTRO COMUNITARIO  EMEF UNIAO;ATIVADO                                                                                                       "
"RS;PELOTAS;4314407;NÃO INFORMADO;URBANO;AMIZ  UNIDADE DE FORMACAO E CAPACITACAO HUMANA E PROFISSIONAL;ATIVADO                                                                                           "
"RS;PELOTAS;4314407;ESCOLA;URBANO;ESC MUN ENS FUN ALMIRANTE RAPHAEL BRUSQUE;EM ATIVAÇÃO                                                                                                                  "
"RS;PASSO FUNDO;4314100;TELECENTRO;URBANO;KIT - SEC DE TURISMO ANEXO ACAD PASSOFUNDENSE DE LETRAS;ATIVADO                                                                                                "
"RS;PASSO DO SOBRADO;4314076;ESCOLA;RURAL;KIT - ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL NOSSA SENHORA DA SAUDE;ATIVADO                                                                                    "
"RS;NOVA SANTA RITA ;4313375;POSTO DE FRONTEIRA;URBANO; EB/3 BATALHAO DE SUPRIMENTO ;ATIVADO                                                                                                             "
"RS;MORMAÇO;4312427;ESCOLA;RURAL;KIT - ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL JOSE RODRIGUES CARDOSO;ATIVADO                                                                                             "
"RS;MATO LEITÃO;4312153;BIBLIOTECA;URBANO;KIT - BIBLIOTECA PUBLICA MUNICIPAL;ATIVADO                                                                                                                     "
"RS;JULIO DE CASTILHOS ;4311205;NÃO INFORMADO;RURAL;ASSOCIACAO DE RADIOFUSAO COMUNITARIA DAS MULHERES CAMPONESAS DE SAO JOAO DOS ;ATIVADO                                                                "
"RS;JACUIZINHO;4310876;ESCOLA;URBANO;POLO UAB  JACUIZINHO;ATIVADO                                                                                                                                        "
"RS;ITAQUI;4310603;ESCOLA;URBANO;KIT - ESCOLA ULISSEA LIMA BARBOSA;ATIVADO                                                                                                                               "
"RS;ITAQUI;4310603;POSTO DE FRONTEIRA;URBANO;EB/1 REGIMENTO DE CAVALARIA MECANIZADO;ATIVADO                                                                                                              "
"RS;ITAPUCA;4310579;ESCOLA;URBANO;TELECENTRO COMUNITARIO  EMEF SANTO ISIDORO;ATIVADO                                                                                                                     "
"RS;ITAPUCA;4310579;ESCOLA;URBANO; ESCOLA MUNICIPAL JOAO CLAUDIR CAPROSKI;ATIVADO                                                                                                                        "
"RS;IRAI;4310504;TELECENTRO;URBANO;KIT - PREFEITURA DE IRAI;ATIVADO                                                                                                                                      "
"RS;HULHA NEGRA;4309654;ESCOLA;URBANO;POLO UAB  HULHA NEGRA;ATIVADO                                                                                                                                      "
"RS;FORMIGUEIRO;4308409;QUILOMBO;RURAL;ASSOCIACAO DE RADIODIFUSAO COMUNITARIA DA REGIAO QUILOMBOLA DE FORMIGUEIRO;ATIVADO                                                                                "
"RS;ESPUMOSO;4307500;ESCOLA;RURAL;KIT - ESC EST ENS MEDIO BELIZARIO DE OLIVEIRA CARPES;ATIVADO                                                                                                           "
"RS;ENCRUZILHADA DO SUL;4306908;BIBLIOTECA;URBANO;KIT - BIBLIOTECA PUBLICA MUNICIPAL;ATIVADO                                                                                                             "
"RS;ELDORADO DO SUL;4306767;ASSENTAMENTO;RURAL;ASSOCIACAO DE RADIODIFUSAO COMUNITARIA DO ASSENTAMENTO BELO MONTE;ATIVADO                                                                                 "
"RS;DOIS IRMAOS DAS MISSOES;4306429;TELECENTRO;URBANO;KIT - CENTRO ADMINISTRATIVO MUNICIPAL;ATIVADO                                                                                                      "
"RS;CRUZALTENSE;4306130;ESCOLA;URBANO;KIT - ESC MUN ENS FUN OSORIO DUQUE ESTRADA;ATIVADO                                                                                                                 "
"RS;CRISSIUMAL;4306007;ESCOLA;RURAL;KIT - ESC MUN ENS FUN RIACHUELO;ATIVADO                                                                                                                              "
"RS;CHARRUA;4305371;ESCOLA;URBANO;KIT - ESC MUN ENS FUN OSVALDO CRUZ;ATIVADO                                                                                                                             "
"RS;CARAA;4304713;ESCOLA;URBANO;KIT - ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL PEDRO JOSE DE BORBA;ATIVADO                                                                                                 "
"RS;CANGUCU;4304507;POSTO DE FRONTEIRA;URBANO;FAB/DESTACAMENTO DE CONTROLE DO ESPACO AEREO  CANGUCU;ATIVADO                                                                                              "
"RS;CAMARGO;4303558;ESCOLA;URBANO;POLO UAB  CAMARGO;ATIVADO                                                                                                                                              "
"RS;CAICARA ;4303400;ESCOLA;RURAL;KIT - ESC MUN ENS FUN SAGRADO CORACAO DE JESUS;EM ATIVAÇÃO                                                                                                             "
"RS;CACHOEIRA DO SUL;4303004;POSTO DE FRONTEIRA;URBANO;EB/13 GRUPO DE ARTILHARIA DE CAMPANHA;ATIVADO                                                                                                     "
"RS;CACEQUI;4302907;POSTO DE FRONTEIRA;URBANO;FAB/CAMPO DE INSTRUCAO BARAO DE SAO BORJA  BASM;ATIVADO                                                                                                    "
"RS;BUTIA;4302709;POSTO DE FRONTEIRA;RURAL;EB/CAMPO DE INSTRUCAO DE BUTIA;ATIVADO                                                                                                                        "
